Discounts,Demand,GS
-19973882.03,8584557.6,193768164.8
-17698628.04,5342224.8,119858037.4
-48878934.31,11477479.2,245079323.6
-25379335.44,11450958,239048065
-22347527.29,8556142.8,176592116.8
-40982392.08,9763357.2,209399262.2
-25076850.41,9151521.6,202052270.6
-21231172.26,8296359.6,190812597.2
-47785877.27,11122832.4,258374248.6
-25814073.3,10086620.4,230457526.4
-28870457.92,11442766.8,270084562.2
-51633530,15166855.2,353146427.8
-21310051.85,6641034,150458223.7
-19841742.59,6550546.8,146733392
-49731351.54,9838750.8,212571372.7
-35261566.58,10890012,228706826.8
-29119443.55,7932855.6,167160103.3
-42088506.4,9461152.8,213557206.3
-33330260.41,9306052.8,212935038.2
-29047513.13,9089000.4,223070819.8
-54221546.35,10721991.6,259802388.6
-34442659.3,10082299.2,242013243.2
-37853504.15,11082924,268910026.3
-59359532.83,13150316.4,303193459.3
-15987297.12,5900320.8,132108594.4
-21534918.14,6487400.4,148519761.1
-57798152.53,10939080,243313217.4
-27080205.35,8539632,184864306
-21795062.57,7676638.8,166441272
-53338481.76,9672571.2,217587598.9
-26609011.4,8903058,206368723.3
-24565208.83,9392852.4,218145183.7
-43942771.39,10972568.4,261991267.2
-25453063.04,9607723.2,230366391.6
-30567904.74,10142463.75,238043250.4
-48944993.17,12905110.8,296079065.8
-32116270.14,6522631.2,142840152.1
-28340735.96,7251871.2,163297805.5
-40389363.62,10239698.4,213747109.3
-30430923.24,9167383.2,195089229.2
-26463295.02,7939984.8,164311146.7
-49151434.61,9291091.2,198393924.5
-26537920.46,10606519.2,229076617.1
-28039956.32,9314312.4,203202758.9
-47274852.5,11044106.4,244233761.9
-28770104.95,10998022.8,253122469.1
-30795336.06,12106238.4,278393619
-47753069.51,11865571.2,272623685.2
-31222647.64,8549800.8,188170505.9
-22606637.44,6559200,145730030
-47785091.03,9228646.8,200559155.4
-32193826.1,11819323.2,247006043.5
-27210317.28,8526070.8,175467706.6
-53923071.91,8654523.6,183962174.5
-32671032.46,10245811.2,220287946.3
-36793707.9,9709004.4,210240049
-42539704.68,12454702.8,277124303.4
-31007809.09,11717886,273174765.4
-38598824.87,11325439.2,259711433.9
-39234108.94,13790881.2,313975720.9
-33092463.66,8995743.6,195539063.9
-27495533.8,6716613.6,154951044.1
-45695758.04,12548992.8,258278525.8
-32028825.67,10236108,209400030
-26050661.44,7457744.4,153423765.5
-45718824.95,10229839.2,220177146.6
-33777863.84,9991903.2,212914522.9
-35430727.67,8448745.2,190838813.6
-53621719.72,11361453.6,259006992.8
-39271804.7,9821634,227855972.3
-37080285.92,11854554,270944472.7
-42692748.96,12449870.4,297113498
-31657655.35,7508496,167583901.4
-23967207.35,5906688,131692511.6
-44563133.59,12387300,273154498.1
-32260303.51,8331128.4,166720214.5
-34379964,1298960.4,23069660.64
-37348528.21,3114502.8,55913826.67
-38009457.7,6110478,123660324.1
-43603764.52,9006658.8,186169346
-46787370.6,9455878.8,200951303.9
-48718804.6,8808102,199327255.3
-48752520.92,9697600.8,219108053.2
-53224243.78,10509070.8,240784567.9
-26320073.28,7567904.4,165833855.2
-28975750.27,8020946.4,176693335.2
-34906753.57,9607546.8,199803942
-30629799.59,9782203.2,203253417.5
-26534298.79,10090816.8,203131370.9
-32016995.69,8718310.8,188308540.4
-27868799.36,10268612.4,229633410.2
-34051612.25,10494286.8,232229503
-47064614.45,10247737.2,235538212.2
-35957787.44,11295619.2,267809021.5
-41865530.59,10420657.2,246464481
-43929580.82,11298672,265177018.7
-39334219.76,8517231.6,194016212.5
-31681161.56,9732531.6,218967578
-48330639.22,10463072.4,231277996.2
-36527814.43,12560000.34,263839708
-34415245.26,9772252.8,215580496.6
-35864876.16,10105122,225510301.8
-43597322.87,10846129.2,253193946.2
-37720085.78,9930573.6,231675632.2
-43086280.49,9774045.6,253870509.4
-46086873.35,10493268,263021656.6
-48693545.45,9202548,236136046.7
-46095516.52,11409744,287411911.2
